shader_slot,selector,base_name,render_bucket,slot,uv,hidden,artist_name,semantic_portrait_id,portrait_status,activity,channels,formula_ids,formula_expressions,notes,transport_profile_id
normal_diffspec_detail.sps > DetailSampler,normal_diffspec_detail.sps,normal_diffspec_detail,0,DetailSampler,0,False,Detail-нормаль и скалярный канал,SEM_8ECBE338DBE9E0BD,resolved,active,"{""A"": ""Не используется; detail mask берётся из Diffuse.A."", ""B"": ""Не используется."", ""G"": ""Компонента Y касательной нормали."", ""R"": ""Одновременно scalar detail sample и tangent normal X.""}",F_DETAIL,D=.5*Detail(UV*detailSettings.zw)+.5*Detail(UV*detailSettings.zw*3.17); A_detail=DiffuseSampler.A; M=1-D.r*detailSettings.x*A_detail; Nxy+=D.xy*detailSettings.y*A_detail,PC branch смешивает два sample масштаба 1× и 3.17× по 0.5.,LINEAR_R_OR_RG_BC5
normal_diffspec_detail.sps > BumpSampler,normal_diffspec_detail.sps,normal_diffspec_detail,0,BumpSampler,0,False,Нормаль / упакованная высота,SEM_716E7D47E446AA46,resolved,active,"{""A"": ""Обычная normal ветка A не читает."", ""B"": ""Не является отдельным художественным каналом в этих branches."", ""RG"": ""Tangent-space normal XY после remap; масштабируется bumpiness.""}",F_NORMAL,"Nxy = (2*Bump.RG-1) * max(bumpiness, 0.001)",,NORMAL_XY_AUTO
normal_diffspec_detail_dpm.sps > DiffuseSampler,normal_diffspec_detail_dpm.sps,normal_diffspec_detail_dpm,0,DiffuseSampler,0,False,Альбедо / непрозрачность,SEM_42DF859D403112AE,resolved,active,"{""A"": ""Surface opacity: decal blend или cutout; в detail-diffspec дополнительно A_detail."", ""RGB"": ""Albedo. В diffspec также источник I/P; у specialised decal может быть маской, а не выводимым цветом.""}",F_ALPHA | F_DIFFSPEC,"I=overlay(dot(Diffuse.rgb,SpecDesaturateIntensity.xyz),SpecDesaturateIntensity.w)*specularIntensityMult; P=overlay(dot(Diffuse.rgb,SpecDesaturateExponent.xyz),SpecDesaturateExponent.w) | alpha_surface = Diffuse.A * Colour0.A * globalAlpha",,DIFFUSE_RGBA_AUTO
normal_diffspec_detail_dpm.sps > DetailSampler,normal_diffspec_detail_dpm.sps,normal_diffspec_detail_dpm,0,DetailSampler,0,False,Detail-нормаль и скалярный канал,SEM_8ECBE338DBE9E0BD,resolved,active,"{""A"": ""Не используется; detail mask берётся из Diffuse.A."", ""B"": ""Не используется."", ""G"": ""Компонента Y касательной нормали."", ""R"": ""Одновременно scalar detail sample и tangent normal X.""}",F_DETAIL,D=.5*Detail(UV*detailSettings.zw)+.5*Detail(UV*detailSettings.zw*3.17); A_detail=DiffuseSampler.A; M=1-D.r*detailSettings.x*A_detail; Nxy+=D.xy*detailSettings.y*A_detail,PC branch смешивает два sample масштаба 1× и 3.17× по 0.5.,LINEAR_R_OR_RG_BC5
normal_diffspec_detail_dpm.sps > heightSampler,normal_diffspec_detail_dpm.sps,normal_diffspec_detail_dpm,0,heightSampler,,False,Высота,SEM_6DFC9C4C83F6F58E,resolved,active,"{""A"": ""Не используется."", ""B"": ""Не используется."", ""G"": ""Не используется."", ""R"": ""Height для PXM raymarch или DPM domain displacement.""}",F_DPM,position' = position + normal * ((heightSampler.R + heightBias) * heightScale * globalHeightScale); tess = PNpatch * tessellationMultiplier,В DPM shipped DXBC имя resource — heightTexture; registry key остаётся heightSampler.,LINEAR_R_OR_RG_BC5
normal_diffspec_detail_dpm.sps > BumpSampler,normal_diffspec_detail_dpm.sps,normal_diffspec_detail_dpm,0,BumpSampler,0,False,Нормаль / упакованная высота,SEM_716E7D47E446AA46,resolved,active,"{""A"": ""Обычная normal ветка A не читает."", ""B"": ""Не является отдельным художественным каналом в этих branches."", ""RG"": ""Tangent-space normal XY после remap; масштабируется bumpiness.""}",F_NORMAL,"Nxy = (2*Bump.RG-1) * max(bumpiness, 0.001)",,NORMAL_XY_AUTO
normal_diffspec_detail_dpm_tnt.sps > DiffuseSampler,normal_diffspec_detail_dpm_tnt.sps,normal_diffspec_detail_dpm_tnt,0,DiffuseSampler,0,False,Альбедо / непрозрачность,SEM_42DF859D403112AE,resolved,active,"{""A"": ""Surface opacity: decal blend или cutout; в detail-diffspec дополнительно A_detail."", ""RGB"": ""Albedo. В diffspec также источник I/P; у specialised decal может быть маской, а не выводимым цветом.""}",F_ALPHA | F_DIFFSPEC,"I=overlay(dot(Diffuse.rgb,SpecDesaturateIntensity.xyz),SpecDesaturateIntensity.w)*specularIntensityMult; P=overlay(dot(Diffuse.rgb,SpecDesaturateExponent.xyz),SpecDesaturateExponent.w) | alpha_surface = Diffuse.A * Colour0.A * globalAlpha",,DIFFUSE_RGBA_AUTO
normal_diffspec_detail_dpm_tnt.sps > TintPaletteSampler,normal_diffspec_detail_dpm_tnt.sps,normal_diffspec_detail_dpm_tnt,0,TintPaletteSampler,,False,Палитра оттенков,SEM_55CA30E417FD7662,resolved,active,"{""A"": ""Сэмплируется в float4, но отдельное художественное использование A в этом path не доказано."", ""RGB"": ""Множитель albedo после point/clamp palette lookup.""}",F_TINT,"Tint=TintPaletteSampler(float2(Colour0.B,tintPaletteSelector.X)); Albedo.rgb*=Tint.rgb",,PALETTE_RGBA8
normal_diffspec_detail_dpm_tnt.sps > DetailSampler,normal_diffspec_detail_dpm_tnt.sps,normal_diffspec_detail_dpm_tnt,0,DetailSampler,0,False,Detail-нормаль и скалярный канал,SEM_8ECBE338DBE9E0BD,resolved,active,"{""A"": ""Не используется; detail mask берётся из Diffuse.A."", ""B"": ""Не используется."", ""G"": ""Компонента Y касательной нормали."", ""R"": ""Одновременно scalar detail sample и tangent normal X.""}",F_DETAIL,D=.5*Detail(UV*detailSettings.zw)+.5*Detail(UV*detailSettings.zw*3.17); A_detail=DiffuseSampler.A; M=1-D.r*detailSettings.x*A_detail; Nxy+=D.xy*detailSettings.y*A_detail,PC branch смешивает два sample масштаба 1× и 3.17× по 0.5.,LINEAR_R_OR_RG_BC5
normal_diffspec_detail_dpm_tnt.sps > heightSampler,normal_diffspec_detail_dpm_tnt.sps,normal_diffspec_detail_dpm_tnt,0,heightSampler,,False,Высота,SEM_6DFC9C4C83F6F58E,resolved,active,"{""A"": ""Не используется."", ""B"": ""Не используется."", ""G"": ""Не используется."", ""R"": ""Height для PXM raymarch или DPM domain displacement.""}",F_DPM,position' = position + normal * ((heightSampler.R + heightBias) * heightScale * globalHeightScale); tess = PNpatch * tessellationMultiplier,В DPM shipped DXBC имя resource — heightTexture; registry key остаётся heightSampler.,LINEAR_R_OR_RG_BC5
normal_diffspec_detail_dpm_tnt.sps > BumpSampler,normal_diffspec_detail_dpm_tnt.sps,normal_diffspec_detail_dpm_tnt,0,BumpSampler,0,False,Нормаль / упакованная высота,SEM_716E7D47E446AA46,resolved,active,"{""A"": ""Обычная normal ветка A не читает."", ""B"": ""Не является отдельным художественным каналом в этих branches."", ""RG"": ""Tangent-space normal XY после remap; масштабируется bumpiness.""}",F_NORMAL,"Nxy = (2*Bump.RG-1) * max(bumpiness, 0.001)",,NORMAL_XY_AUTO
normal_diffspec_detail_tnt.sps > DiffuseSampler,normal_diffspec_detail_tnt.sps,normal_diffspec_detail_tnt,0,DiffuseSampler,0,False,Альбедо / непрозрачность,SEM_42DF859D403112AE,resolved,active,"{""A"": ""Surface opacity: decal blend или cutout; в detail-diffspec дополнительно A_detail."", ""RGB"": ""Albedo. В diffspec также источник I/P; у specialised decal может быть маской, а не выводимым цветом.""}",F_ALPHA | F_DIFFSPEC,"I=overlay(dot(Diffuse.rgb,SpecDesaturateIntensity.xyz),SpecDesaturateIntensity.w)*specularIntensityMult; P=overlay(dot(Diffuse.rgb,SpecDesaturateExponent.xyz),SpecDesaturateExponent.w) | alpha_surface = Diffuse.A * Colour0.A * globalAlpha",,DIFFUSE_RGBA_AUTO
normal_diffspec_detail_tnt.sps > TintPaletteSampler,normal_diffspec_detail_tnt.sps,normal_diffspec_detail_tnt,0,TintPaletteSampler,,False,Палитра оттенков,SEM_55CA30E417FD7662,resolved,active,"{""A"": ""Сэмплируется в float4, но отдельное художественное использование A в этом path не доказано."", ""RGB"": ""Множитель albedo после point/clamp palette lookup.""}",F_TINT,"Tint=TintPaletteSampler(float2(Colour0.B,tintPaletteSelector.X)); Albedo.rgb*=Tint.rgb",,PALETTE_RGBA8
normal_diffspec_detail_tnt.sps > DetailSampler,normal_diffspec_detail_tnt.sps,normal_diffspec_detail_tnt,0,DetailSampler,0,False,Detail-нормаль и скалярный канал,SEM_8ECBE338DBE9E0BD,resolved,active,"{""A"": ""Не используется; detail mask берётся из Diffuse.A."", ""B"": ""Не используется."", ""G"": ""Компонента Y касательной нормали."", ""R"": ""Одновременно scalar detail sample и tangent normal X.""}",F_DETAIL,D=.5*Detail(UV*detailSettings.zw)+.5*Detail(UV*detailSettings.zw*3.17); A_detail=DiffuseSampler.A; M=1-D.r*detailSettings.x*A_detail; Nxy+=D.xy*detailSettings.y*A_detail,PC branch смешивает два sample масштаба 1× и 3.17× по 0.5.,LINEAR_R_OR_RG_BC5
normal_diffspec_detail_tnt.sps > BumpSampler,normal_diffspec_detail_tnt.sps,normal_diffspec_detail_tnt,0,BumpSampler,0,False,Нормаль / упакованная высота,SEM_716E7D47E446AA46,resolved,active,"{""A"": ""Обычная normal ветка A не читает."", ""B"": ""Не является отдельным художественным каналом в этих branches."", ""RG"": ""Tangent-space normal XY после remap; масштабируется bumpiness.""}",F_NORMAL,"Nxy = (2*Bump.RG-1) * max(bumpiness, 0.001)",,NORMAL_XY_AUTO
normal_diffspec_tnt.sps > DiffuseSampler,normal_diffspec_tnt.sps,normal_diffspec_tnt,0,DiffuseSampler,0,False,Базовый цвет,SEM_3F073454422ED93F,resolved,active,"{""A"": ""Альфа поверхности."", ""RGB"": ""Базовый albedo и исходник двух generated-diffspec сигналов; в TNT spec вычисляется до palette tint.""}",F_SURFACE_ALPHA | F_TINT_PALETTE | F_DIFFSPEC,"L1=dot(Diffuse.RGB,SpecDesaturateIntensity.XYZ); S1=Overlay(L1,SpecDesaturateIntensity.W); L2=dot(Diffuse.RGB,SpecDesaturateExponent.XYZ); S2=Overlay(L2,SpecDesaturateExponent.W); I=dot((S1,S2,0),specMapIntMask)·specularIntensityMult | T=TintPaletteSampler(Colour0.B,tintPaletteSelector.X); albedo=DiffuseSampler.RGB×T.RGB | surface_alpha = DiffuseSampler.A × Colour0.A; затем runtime умножает globalAlpha",,DIFFUSE_RGBA_AUTO
normal_diffspec_tnt.sps > TintPaletteSampler,normal_diffspec_tnt.sps,normal_diffspec_tnt,0,TintPaletteSampler,,False,Палитра оттенков,SEM_5882847584F3EEED,resolved,active,"{""A"": ""В проверенном основном deferred lit-пути не используется."", ""RGB"": ""Палитровый RGB-множитель albedo.""}",F_TINT_PALETTE,"T=TintPaletteSampler(Colour0.B,tintPaletteSelector.X); albedo=DiffuseSampler.RGB×T.RGB",Координаты формируются из Colour0.B и tintPaletteSelector.X; это не обычная UV-текстура.,PALETTE_RGBA8
normal_diffspec_tnt.sps > BumpSampler,normal_diffspec_tnt.sps,normal_diffspec_tnt,0,BumpSampler,0,False,Карта нормалей,SEM_BC1FC7E4B6D69C43,resolved,active,"{""A"": ""В проверенном normal decode не используется."", ""B"": ""В проверенном normal decode не используется; Z восстанавливается."", ""G"": ""Компонента Y касательного пространства: 2·G−1."", ""R"": ""Компонента X касательного пространства: 2·R−1.""}",F_NORMAL_RG,"q=2·BumpSampler.RG−1; z=sqrt(abs(1−dot(q,q))); N=normalize(T·q.x·b+B·q.y·b+Ngeo·z)",,NORMAL_XY_AUTO
normal_pxm.sps > DiffuseSampler,normal_pxm.sps,normal_pxm,0,DiffuseSampler,0,False,Альбедо / непрозрачность,SEM_32077C77D80BB001,resolved,active,"{""A"": ""Surface opacity: decal blend или cutout; в detail-diffspec дополнительно A_detail."", ""RGB"": ""Albedo. В diffspec также источник I/P; у specialised decal может быть маской, а не выводимым цветом.""}",F_ALPHA,alpha_surface = Diffuse.A * Colour0.A * globalAlpha,,DIFFUSE_RGBA_AUTO
normal_pxm.sps > heightSampler,normal_pxm.sps,normal_pxm,0,heightSampler,0,False,Высота,SEM_916079B5700D30F1,resolved,active,"{""A"": ""Не используется."", ""B"": ""Не используется."", ""G"": ""Не используется."", ""R"": ""Height для PXM raymarch или DPM domain displacement.""}",F_PXM,"maxOff=(-Vt.xy/max(zLimit,Vt.z))*heightScale*globalScale; biasOff=(Vt.xy/max(zLimit,Vt.z))*heightBias*globalScale; UV'=UV+biasOff+maxOff*(1-tracedHeight)",В DPM shipped DXBC имя resource — heightTexture; registry key остаётся heightSampler.,LINEAR_R_OR_RG_BC5
normal_pxm.sps > BumpSampler,normal_pxm.sps,normal_pxm,0,BumpSampler,0,False,Нормаль / упакованная высота,SEM_716E7D47E446AA46,resolved,active,"{""A"": ""Обычная normal ветка A не читает."", ""B"": ""Не является отдельным художественным каналом в этих branches."", ""RG"": ""Tangent-space normal XY после remap; масштабируется bumpiness.""}",F_NORMAL,"Nxy = (2*Bump.RG-1) * max(bumpiness, 0.001)",,NORMAL_XY_AUTO
normal_pxm_tnt.sps > DiffuseSampler,normal_pxm_tnt.sps,normal_pxm_tnt,0,DiffuseSampler,0,False,Альбедо / непрозрачность,SEM_32077C77D80BB001,resolved,active,"{""A"": ""Surface opacity: decal blend или cutout; в detail-diffspec дополнительно A_detail."", ""RGB"": ""Albedo. В diffspec также источник I/P; у specialised decal может быть маской, а не выводимым цветом.""}",F_ALPHA,alpha_surface = Diffuse.A * Colour0.A * globalAlpha,,DIFFUSE_RGBA_AUTO
normal_pxm_tnt.sps > TintPaletteSampler,normal_pxm_tnt.sps,normal_pxm_tnt,0,TintPaletteSampler,,False,Палитра оттенков,SEM_55CA30E417FD7662,resolved,active,"{""A"": ""Сэмплируется в float4, но отдельное художественное использование A в этом path не доказано."", ""RGB"": ""Множитель albedo после point/clamp palette lookup.""}",F_TINT,"Tint=TintPaletteSampler(float2(Colour0.B,tintPaletteSelector.X)); Albedo.rgb*=Tint.rgb",,PALETTE_RGBA8
normal_pxm_tnt.sps > heightSampler,normal_pxm_tnt.sps,normal_pxm_tnt,0,heightSampler,0,False,Высота,SEM_916079B5700D30F1,resolved,active,"{""A"": ""Не используется."", ""B"": ""Не используется."", ""G"": ""Не используется."", ""R"": ""Height для PXM raymarch или DPM domain displacement.""}",F_PXM,"maxOff=(-Vt.xy/max(zLimit,Vt.z))*heightScale*globalScale; biasOff=(Vt.xy/max(zLimit,Vt.z))*heightBias*globalScale; UV'=UV+biasOff+maxOff*(1-tracedHeight)",В DPM shipped DXBC имя resource — heightTexture; registry key остаётся heightSampler.,LINEAR_R_OR_RG_BC5
normal_pxm_tnt.sps > BumpSampler,normal_pxm_tnt.sps,normal_pxm_tnt,0,BumpSampler,0,False,Нормаль / упакованная высота,SEM_716E7D47E446AA46,resolved,active,"{""A"": ""Обычная normal ветка A не читает."", ""B"": ""Не является отдельным художественным каналом в этих branches."", ""RG"": ""Tangent-space normal XY после remap; масштабируется bumpiness.""}",F_NORMAL,"Nxy = (2*Bump.RG-1) * max(bumpiness, 0.001)",,NORMAL_XY_AUTO
normal_reflect.sps > DiffuseSampler,normal_reflect.sps,normal_reflect,0,DiffuseSampler,0,False,Альбедо / непрозрачность,SEM_C9A6E26136C17449,resolved,active,"{""A"": ""Вход alpha/opacity поверхности; opaque bucket обычно сам по себе не превращает его в cutout."", ""RGB"": ""Базовый цвет/цвет эмиссии.""}",hard_alpha,"hard=(alpha−alphaRef)/((1−alphaRef)·0.1); alpha=lerp(alpha,hard,HardAlphaBlend)",,DIFFUSE_RGBA_AUTO
normal_reflect.sps > BumpSampler,normal_reflect.sps,normal_reflect,0,BumpSampler,0,False,Карта нормалей,SEM_54AD86BAB78C04FC,resolved,active,"{""A"": ""Не читается при восстановлении нормали."", ""B"": ""Не читается при восстановлении нормали."", ""RG"": ""XY нормали в касательном пространстве: (2·RG−1)·max(bumpiness,0.001).""}",normal_xy,"Nxy = (2·Bump.RG − 1) · max(bumpiness, 0.001)",,NORMAL_XY_AUTO
normal_reflect.sps > EnvironmentSampler,normal_reflect.sps,normal_reflect,0,EnvironmentSampler,,False,Статическое отражение окружения,SEM_03583B411F57462F,resolved,active,"{""A"": ""Не используется проверенным путём environment-reflection."", ""RGB"": ""Цвет отражения сэмплируется по процедурному отражённому направлению.""}",environment,"R=normalize(reflect(−V,N)); uv=−0.5·(R.xz+1); EnvRGB=Environment2D(uv).RGB·reflectivePower","Попиксельной маски отражения нет: reflectivePower задаёт общую силу материала. | Diffuse.A, Spec.A и Spec.RGB напрямую не маскируют, не размывают и не тонируют эту текстуру.",COLOR_RGB_BC1
normal_reflect_alpha.sps > DiffuseSampler,normal_reflect_alpha.sps,normal_reflect,1,DiffuseSampler,0,False,Альбедо / непрозрачность,SEM_C9A6E26136C17449,resolved,active,"{""A"": ""Вход alpha/opacity поверхности; opaque bucket обычно сам по себе не превращает его в cutout."", ""RGB"": ""Базовый цвет/цвет эмиссии.""}",hard_alpha,"hard=(alpha−alphaRef)/((1−alphaRef)·0.1); alpha=lerp(alpha,hard,HardAlphaBlend)",,DIFFUSE_RGBA_AUTO
normal_reflect_alpha.sps > BumpSampler,normal_reflect_alpha.sps,normal_reflect,1,BumpSampler,0,False,Карта нормалей,SEM_54AD86BAB78C04FC,resolved,active,"{""A"": ""Не читается при восстановлении нормали."", ""B"": ""Не читается при восстановлении нормали."", ""RG"": ""XY нормали в касательном пространстве: (2·RG−1)·max(bumpiness,0.001).""}",normal_xy,"Nxy = (2·Bump.RG − 1) · max(bumpiness, 0.001)",,NORMAL_XY_AUTO
normal_reflect_alpha.sps > EnvironmentSampler,normal_reflect_alpha.sps,normal_reflect,1,EnvironmentSampler,,False,Статическое отражение окружения,SEM_03583B411F57462F,resolved,active,"{""A"": ""Не используется проверенным путём environment-reflection."", ""RGB"": ""Цвет отражения сэмплируется по процедурному отражённому направлению.""}",environment,"R=normalize(reflect(−V,N)); uv=−0.5·(R.xz+1); EnvRGB=Environment2D(uv).RGB·reflectivePower","Попиксельной маски отражения нет: reflectivePower задаёт общую силу материала. | Diffuse.A, Spec.A и Spec.RGB напрямую не маскируют, не размывают и не тонируют эту текстуру.",COLOR_RGB_BC1
normal_reflect_decal.sps > DiffuseSampler,normal_reflect_decal.sps,normal_reflect_decal,2,DiffuseSampler,0,False,Альбедо / непрозрачность,SEM_BDCA6A9993EA6364,resolved,active,"{""A"": ""Вход alpha/opacity поверхности; opaque bucket обычно сам по себе не превращает его в cutout."", ""RGB"": ""Базовый цвет/цвет эмиссии.""}",,,,DIFFUSE_RGBA_AUTO
normal_reflect_decal.sps > BumpSampler,normal_reflect_decal.sps,normal_reflect_decal,2,BumpSampler,0,False,Карта нормалей,SEM_54AD86BAB78C04FC,resolved,active,"{""A"": ""Не читается при восстановлении нормали."", ""B"": ""Не читается при восстановлении нормали."", ""RG"": ""XY нормали в касательном пространстве: (2·RG−1)·max(bumpiness,0.001).""}",normal_xy,"Nxy = (2·Bump.RG − 1) · max(bumpiness, 0.001)",,NORMAL_XY_AUTO
normal_reflect_decal.sps > EnvironmentSampler,normal_reflect_decal.sps,normal_reflect_decal,2,EnvironmentSampler,,False,Статическое отражение окружения,SEM_03583B411F57462F,resolved,active,"{""A"": ""Не используется проверенным путём environment-reflection."", ""RGB"": ""Цвет отражения сэмплируется по процедурному отражённому направлению.""}",environment,"R=normalize(reflect(−V,N)); uv=−0.5·(R.xz+1); EnvRGB=Environment2D(uv).RGB·reflectivePower","Попиксельной маски отражения нет: reflectivePower задаёт общую силу материала. | Diffuse.A, Spec.A и Spec.RGB напрямую не маскируют, не размывают и не тонируют эту текстуру.",COLOR_RGB_BC1
normal_reflect_screendooralpha.sps > DiffuseSampler,normal_reflect_screendooralpha.sps,normal_reflect,3,DiffuseSampler,0,False,Альбедо / непрозрачность,SEM_C9A6E26136C17449,resolved,active,"{""A"": ""Вход alpha/opacity поверхности; opaque bucket обычно сам по себе не превращает его в cutout."", ""RGB"": ""Базовый цвет/цвет эмиссии.""}",hard_alpha,"hard=(alpha−alphaRef)/((1−alphaRef)·0.1); alpha=lerp(alpha,hard,HardAlphaBlend)",,DIFFUSE_RGBA_AUTO
normal_reflect_screendooralpha.sps > BumpSampler,normal_reflect_screendooralpha.sps,normal_reflect,3,BumpSampler,0,False,Карта нормалей,SEM_54AD86BAB78C04FC,resolved,active,"{""A"": ""Не читается при восстановлении нормали."", ""B"": ""Не читается при восстановлении нормали."", ""RG"": ""XY нормали в касательном пространстве: (2·RG−1)·max(bumpiness,0.001).""}",normal_xy,"Nxy = (2·Bump.RG − 1) · max(bumpiness, 0.001)",,NORMAL_XY_AUTO
normal_reflect_screendooralpha.sps > EnvironmentSampler,normal_reflect_screendooralpha.sps,normal_reflect,3,EnvironmentSampler,,False,Статическое отражение окружения,SEM_03583B411F57462F,resolved,active,"{""A"": ""Не используется проверенным путём environment-reflection."", ""RGB"": ""Цвет отражения сэмплируется по процедурному отражённому направлению.""}",environment,"R=normalize(reflect(−V,N)); uv=−0.5·(R.xz+1); EnvRGB=Environment2D(uv).RGB·reflectivePower","Попиксельной маски отражения нет: reflectivePower задаёт общую силу материала. | Diffuse.A, Spec.A и Spec.RGB напрямую не маскируют, не размывают и не тонируют эту текстуру.",COLOR_RGB_BC1
normal_screendooralpha.sps > DiffuseSampler,normal_screendooralpha.sps,normal,3,DiffuseSampler,0,False,Базовый цвет,SEM_9B2FFD437A334725,resolved,active,"{""A"": ""Surface alpha; в CUTOUT также источник alpha-test."", ""RGB"": ""Базовый цвет поверхности. DXBC не доказывает transfer-функцию исходного DDS.""}",F_SURFACE_ALPHA,surface_alpha = DiffuseSampler.A × Colour0.A; затем runtime умножает globalAlpha,,DIFFUSE_RGBA_AUTO
normal_screendooralpha.sps > BumpSampler,normal_screendooralpha.sps,normal,3,BumpSampler,0,False,Карта нормалей,SEM_BC1FC7E4B6D69C43,resolved,active,"{""A"": ""В проверенном normal decode не используется."", ""B"": ""В проверенном normal decode не используется; Z восстанавливается."", ""G"": ""Компонента Y касательного пространства: 2·G−1."", ""R"": ""Компонента X касательного пространства: 2·R−1.""}",F_NORMAL_RG,"q=2·BumpSampler.RG−1; z=sqrt(abs(1−dot(q,q))); N=normalize(T·q.x·b+B·q.y·b+Ngeo·z)",,NORMAL_XY_AUTO
normal_spec.sps > DiffuseSampler,normal_spec.sps,normal_spec,0,DiffuseSampler,0,False,Базовый цвет,SEM_9B2FFD437A334725,resolved,active,"{""A"": ""Surface alpha; в CUTOUT также источник alpha-test."", ""RGB"": ""Базовый цвет поверхности. DXBC не доказывает transfer-функцию исходного DDS.""}",F_SURFACE_ALPHA,surface_alpha = DiffuseSampler.A × Colour0.A; затем runtime умножает globalAlpha,,DIFFUSE_RGBA_AUTO
normal_spec.sps > BumpSampler,normal_spec.sps,normal_spec,0,BumpSampler,0,False,Карта нормалей,SEM_BC1FC7E4B6D69C43,resolved,active,"{""A"": ""В проверенном normal decode не используется."", ""B"": ""В проверенном normal decode не используется; Z восстанавливается."", ""G"": ""Компонента Y касательного пространства: 2·G−1."", ""R"": ""Компонента X касательного пространства: 2·R−1.""}",F_NORMAL_RG,"q=2·BumpSampler.RG−1; z=sqrt(abs(1−dot(q,q))); N=normalize(T·q.x·b+B·q.y·b+Ngeo·z)",,NORMAL_XY_AUTO
normal_spec.sps > SpecSampler,normal_spec.sps,normal_spec,0,SpecSampler,0,False,Упакованный specular,SEM_ADCA91AAC8552F7A,resolved,active,"{""A"": ""Линейный falloff/gloss input; умножается на specularFalloffMult."", ""B"": ""Третий скалярный spec-вклад; остаётся линейным."", ""G"": ""Второй скалярный spec-вклад; перед mask возводится в квадрат."", ""R"": ""Первый скалярный spec-вклад; перед mask возводится в квадрат.""}",F_SPEC_PACKED,"Q=(R²,G²,B); I=dot(Q,specMapIntMask)·specularIntensityMult; P=A·specularFalloffMult; n=3·min(P,500)+558·max(P−500,0)",,LINEAR_RGBA_BC3
normal_spec_alpha.sps > DiffuseSampler,normal_spec_alpha.sps,normal_spec,1,DiffuseSampler,0,False,Базовый цвет,SEM_9B2FFD437A334725,resolved,active,"{""A"": ""Surface alpha; в CUTOUT также источник alpha-test."", ""RGB"": ""Базовый цвет поверхности. DXBC не доказывает transfer-функцию исходного DDS.""}",F_SURFACE_ALPHA,surface_alpha = DiffuseSampler.A × Colour0.A; затем runtime умножает globalAlpha,,DIFFUSE_RGBA_AUTO
normal_spec_alpha.sps > BumpSampler,normal_spec_alpha.sps,normal_spec,1,BumpSampler,0,False,Карта нормалей,SEM_BC1FC7E4B6D69C43,resolved,active,"{""A"": ""В проверенном normal decode не используется."", ""B"": ""В проверенном normal decode не используется; Z восстанавливается."", ""G"": ""Компонента Y касательного пространства: 2·G−1."", ""R"": ""Компонента X касательного пространства: 2·R−1.""}",F_NORMAL_RG,"q=2·BumpSampler.RG−1; z=sqrt(abs(1−dot(q,q))); N=normalize(T·q.x·b+B·q.y·b+Ngeo·z)",,NORMAL_XY_AUTO
normal_spec_alpha.sps > SpecSampler,normal_spec_alpha.sps,normal_spec,1,SpecSampler,0,False,Упакованный specular,SEM_ADCA91AAC8552F7A,resolved,active,"{""A"": ""Линейный falloff/gloss input; умножается на specularFalloffMult."", ""B"": ""Третий скалярный spec-вклад; остаётся линейным."", ""G"": ""Второй скалярный spec-вклад; перед mask возводится в квадрат."", ""R"": ""Первый скалярный spec-вклад; перед mask возводится в квадрат.""}",F_SPEC_PACKED,"Q=(R²,G²,B); I=dot(Q,specMapIntMask)·specularIntensityMult; P=A·specularFalloffMult; n=3·min(P,500)+558·max(P−500,0)",,LINEAR_RGBA_BC3
normal_spec_batch.sps > DiffuseSampler,normal_spec_batch.sps,normal_spec_batch,3,DiffuseSampler,0,False,Базовый цвет,SEM_95A5EECD1DF2B105,resolved,active,"{""A"": ""Surface alpha; в CUTOUT также источник alpha-test."", ""RGB"": ""Базовый цвет поверхности. DXBC не доказывает transfer-функцию исходного DDS.""}",F_SURFACE_ALPHA | F_BATCH_INSTANCE_TINT,"albedo=Diffuse.RGB×lerp(1,instanceColor.RGB,Colour1.R) | surface_alpha = DiffuseSampler.A × Colour0.A; затем runtime умножает globalAlpha",,DIFFUSE_RGBA_AUTO
normal_spec_batch.sps > BumpSampler,normal_spec_batch.sps,normal_spec_batch,3,BumpSampler,0,False,Карта нормалей,SEM_BC1FC7E4B6D69C43,resolved,active,"{""A"": ""В проверенном normal decode не используется."", ""B"": ""В проверенном normal decode не используется; Z восстанавливается."", ""G"": ""Компонента Y касательного пространства: 2·G−1."", ""R"": ""Компонента X касательного пространства: 2·R−1.""}",F_NORMAL_RG,"q=2·BumpSampler.RG−1; z=sqrt(abs(1−dot(q,q))); N=normalize(T·q.x·b+B·q.y·b+Ngeo·z)",,NORMAL_XY_AUTO
normal_spec_batch.sps > SpecSampler,normal_spec_batch.sps,normal_spec_batch,3,SpecSampler,0,False,Упакованный specular,SEM_ADCA91AAC8552F7A,resolved,active,"{""A"": ""Линейный falloff/gloss input; умножается на specularFalloffMult."", ""B"": ""Третий скалярный spec-вклад; остаётся линейным."", ""G"": ""Второй скалярный spec-вклад; перед mask возводится в квадрат."", ""R"": ""Первый скалярный spec-вклад; перед mask возводится в квадрат.""}",F_SPEC_PACKED,"Q=(R²,G²,B); I=dot(Q,specMapIntMask)·specularIntensityMult; P=A·specularFalloffMult; n=3·min(P,500)+558·max(P−500,0)",,LINEAR_RGBA_BC3
