semantic_portrait_id,transport_profile_id,activity,member_count,slot_names,channels,formulas,notes,shader_slots
SEM_58EEFDF3A38BDF92,LINEAR_R_OR_RG_BC5,active,2,DetailSampler,"{""A"": ""Не читается проверенной detail-ветвью."", ""B"": ""Не читается проверенной detail-ветвью."", ""RG"": ""Два sample объединяются в detail-сигнал Dxy.""}",Dxy = Detail(uv·ZW).RG + Detail(uv·ZW·3.17).RG − 1 | gate = 1 − Dxy.x·detailSettings.X·Spec.A; Nxy += 2·Dxy·detailSettings.Y·Spec.A,,weapon_normal_spec_detail_palette.sps > DetailSampler | weapon_normal_spec_detail_tnt.sps > DetailSampler
SEM_5B4603C4239AB415,NORMAL_XY_AUTO,active,22,BumpSampler | DetailNormal2Sampler | DetailNormalSampler | normalSampler,"{""A"": ""Не отдельная художественная маска; физическая упаковка normal map зависит от формата текстуры."", ""RGB"": ""Тангенсная нормаль после GTA-декодирования; X/Y задают наклон, Z восстанавливается/нормализуется.""}",,,clouds_altitude.sps > DetailNormal2Sampler | clouds_altitude.sps > DetailNormalSampler | clouds_altitude.sps > normalSampler | clouds_anim.sps > DetailNormal2Sampler | clouds_anim.sps > DetailNormalSampler | clouds_anim.sps > normalSampler | clouds_animsoft.sps > DetailNormal2Sampler | clouds_animsoft.sps > DetailNormalSampler | clouds_animsoft.sps > normalSampler | clouds_fast.sps > normalSampler | clouds_fog.sps > normalSampler | clouds_soft.sps > normalSampler | glass.sps > BumpSampler | glass_breakable.sps > BumpSampler | glass_breakable_screendooralpha.sps > BumpSampler | glass_displacement.sps > BumpSampler | glass_emissive.sps > BumpSampler | glass_emissive_alpha.sps > BumpSampler | glass_emissivenight.sps > BumpSampler | glass_emissivenight_alpha.sps > BumpSampler | glass_env.sps > BumpSampler | mirror_decal.sps > BumpSampler
SEM_6585B3C2E7481ACC,SKIP_INACTIVE,inactive,2,SpecSampler,"{""RGBA"": ""Слот объявлен в Sollumz, но основной HQ draw-проход его не бинит: карта не влияет на этот проход.""}",,,vehicle_dash_emissive.sps > SpecSampler | vehicle_dash_emissive_opaque.sps > SpecSampler
SEM_65D26752D3E6373C,LINEAR_RGBA_BC3,active,42,DirtSampler,"{""A"": ""Стабильная независимая художественная функция в проверенных путях не доказана."", ""B"": ""Второй dirt-level sample для runtime интерполяции."", ""G"": ""Модифицирует остаток clean/dirt blend; карта не является обычной grayscale-маской."", ""R"": ""Один из dirt-level samples; смешивается с B по глобальному wet/dirt состоянию.""}",,Лучше использовать vanilla vehicle dirt packing.,vehicle_cloth.sps > DirtSampler | vehicle_cloth2.sps > DirtSampler | vehicle_decal2.sps > DirtSampler | vehicle_detail.sps > DirtSampler | vehicle_emissive_alpha.sps > DirtSampler | vehicle_emissive_opaque.sps > DirtSampler | vehicle_licenseplate.sps > DirtSampler | vehicle_lights.sps > DirtSampler | vehicle_lightsemissive.sps > DirtSampler | vehicle_lightsemissive_siren.sps > DirtSampler | vehicle_mesh.sps > DirtSampler | vehicle_mesh2_enveff.sps > DirtSampler | vehicle_mesh_enveff.sps > DirtSampler | vehicle_nosplash.sps > DirtSampler | vehicle_nowater.sps > DirtSampler | vehicle_paint1.sps > DirtSampler | vehicle_paint1_enveff.sps > DirtSampler | vehicle_paint2.sps > DirtSampler | vehicle_paint2_enveff.sps > DirtSampler | vehicle_paint3.sps > DirtSampler | vehicle_paint3_enveff.sps > DirtSampler | vehicle_paint3_lvr.sps > DirtSampler | vehicle_paint4.sps > DirtSampler | vehicle_paint4_emissive.sps > DirtSampler | vehicle_paint4_enveff.sps > DirtSampler | vehicle_paint5_enveff.sps > DirtSampler | vehicle_paint6.sps > DirtSampler | vehicle_paint6_enveff.sps > DirtSampler | vehicle_paint7.sps > DirtSampler | vehicle_paint7_enveff.sps > DirtSampler | vehicle_paint8.sps > DirtSampler | vehicle_paint9.sps > DirtSampler | vehicle_tire.sps > DirtSampler | vehicle_tire_emissive.sps > DirtSampler | vehicle_track.sps > DirtSampler | vehicle_track2.sps > DirtSampler | vehicle_track2_emissive.sps > DirtSampler | vehicle_track_ammo.sps > DirtSampler | vehicle_track_emissive.sps > DirtSampler | vehicle_track_siren.sps > DirtSampler | vehicle_vehglass.sps > DirtSampler | vehicle_vehglass_inner.sps > DirtSampler
SEM_66A9FBE02B7E8941,TODO_SPECIAL_SPEC_BA,active,20,SpecSampler,"{""A"": ""Вспомогательная ped skin/detail маска; не falloff и не переносима как generic spec A."", ""B"": ""Код класса кожи: пороги около 13/16…15/16 включают skin/subsurface ветви; не цвет блика."", ""G"": ""Falloff/exponent input; читается с квадратом."", ""R"": ""Интенсивность обычного блика; читается с квадратом.""}",I = R²·SpecInt; P = G²·SpecFalloff,В ped_alpha основной проверенный forward-путь использует R²/G²; B/A там не формируют обычный spec.,ped.sps > SpecSampler | ped_alpha.sps > SpecSampler | ped_cloth.sps > SpecSampler | ped_cloth_enveff.sps > SpecSampler | ped_decal_decoration.sps > SpecSampler | ped_decal_expensive.sps > SpecSampler | ped_decal_nodiff.sps > SpecSampler | ped_emissive.sps > SpecSampler | ped_enveff.sps > SpecSampler | ped_fur.sps > SpecSampler | ped_hair_cutout_alpha.sps > SpecSampler | ped_hair_cutout_alpha_cloth.sps > SpecSampler | ped_hair_spiked.sps > SpecSampler | ped_nopeddamagedecals.sps > SpecSampler | ped_palette.sps > SpecSampler | ped_wrinkle.sps > SpecSampler | ped_wrinkle_cloth.sps > SpecSampler | ped_wrinkle_cloth_enveff.sps > SpecSampler | ped_wrinkle_cs.sps > SpecSampler | ped_wrinkle_enveff.sps > SpecSampler
SEM_699C23DEAE7FB095,LINEAR_R_OR_RG_BC5,active,2,DetailSampler,"{""A"": ""Не используется; detail mask берётся из 1."", ""B"": ""Не используется."", ""G"": ""Компонента Y касательной нормали."", ""R"": ""Одновременно scalar detail sample и tangent normal X.""}",D=.5*Detail(UV*detailSettings.zw)+.5*Detail(UV*detailSettings.zw*3.17); A_detail=1; M=1-D.r*detailSettings.x*A_detail; Nxy+=D.xy*detailSettings.y*A_detail,PC branch смешивает два sample масштаба 1× и 3.17× по 0.5.,normal_detail.sps > DetailSampler | normal_detail_dpm.sps > DetailSampler
SEM_6C2C8726336939B7,LINEAR_R_OR_RG_BC5,active,28,heightMapSamplerLayer0 | heightMapSamplerLayer1 | heightMapSamplerLayer2 | heightMapSamplerLayer3,"{""A"": ""Не используется в исследованном пути."", ""B"": ""Не используется в исследованном пути."", ""G"": ""В этой не-SPM перестановке отдельно не используется."", ""R"": ""Высота для parallax/height offset.""}",,,terrain_cb_w_4lyr_2tex_blend_pxm.sps > heightMapSamplerLayer0 | terrain_cb_w_4lyr_2tex_blend_pxm.sps > heightMapSamplerLayer1 | terrain_cb_w_4lyr_2tex_blend_pxm.sps > heightMapSamplerLayer2 | terrain_cb_w_4lyr_2tex_blend_pxm.sps > heightMapSamplerLayer3 | terrain_cb_w_4lyr_2tex_pxm.sps > heightMapSamplerLayer0 | terrain_cb_w_4lyr_2tex_pxm.sps > heightMapSamplerLayer1 | terrain_cb_w_4lyr_2tex_pxm.sps > heightMapSamplerLayer2 | terrain_cb_w_4lyr_2tex_pxm.sps > heightMapSamplerLayer3 | terrain_cb_w_4lyr_cm_pxm.sps > heightMapSamplerLayer0 | terrain_cb_w_4lyr_cm_pxm.sps > heightMapSamplerLayer1 | terrain_cb_w_4lyr_cm_pxm.sps > heightMapSamplerLayer2 | terrain_cb_w_4lyr_cm_pxm.sps > heightMapSamplerLayer3 | terrain_cb_w_4lyr_cm_pxm_tnt.sps > heightMapSamplerLayer0 | terrain_cb_w_4lyr_cm_pxm_tnt.sps > heightMapSamplerLayer1 | terrain_cb_w_4lyr_cm_pxm_tnt.sps > heightMapSamplerLayer2 | terrain_cb_w_4lyr_cm_pxm_tnt.sps > heightMapSamplerLayer3 | terrain_cb_w_4lyr_pxm.sps > heightMapSamplerLayer0 | terrain_cb_w_4lyr_pxm.sps > heightMapSamplerLayer1 | terrain_cb_w_4lyr_pxm.sps > heightMapSamplerLayer2 | terrain_cb_w_4lyr_pxm.sps > heightMapSamplerLayer3 | terrain_cb_w_4lyr_spec_int_pxm.sps > heightMapSamplerLayer0 | terrain_cb_w_4lyr_spec_int_pxm.sps > heightMapSamplerLayer1 | terrain_cb_w_4lyr_spec_int_pxm.sps > heightMapSamplerLayer2 | terrain_cb_w_4lyr_spec_int_pxm.sps > heightMapSamplerLayer3 | terrain_cb_w_4lyr_spec_pxm.sps > heightMapSamplerLayer0 | terrain_cb_w_4lyr_spec_pxm.sps > heightMapSamplerLayer1 | terrain_cb_w_4lyr_spec_pxm.sps > heightMapSamplerLayer2 | terrain_cb_w_4lyr_spec_pxm.sps > heightMapSamplerLayer3
SEM_6C45745EC62E4A54,DIFFUSE_RGBA_AUTO,active,1,DiffuseSampler,"{""A"": ""Маска эмиссии; в alpha-capable passes также задаёт непрозрачность поверхности."", ""RGB"": ""Базовый цвет/цвет эмиссии.""}",E_lit = emissiveMultiplier·Diffuse.A·gEmissiveScale·Colour0.B²,,weapon_emissivestrong_alpha.sps > DiffuseSampler
SEM_6D18F6D65E68296A,LINEAR_RGBA_BC3,active,1,DiffuseSampler,"{""A"": ""Surface opacity: decal blend или cutout; в detail-diffspec дополнительно A_detail."", ""RGB"": ""Не пишется; карта нужна главным образом как alpha mask normal decal.""}",alpha_surface = Diffuse.A * Colour0.A * globalAlpha,,decal_normal_only.sps > DiffuseSampler
SEM_6DFC9C4C83F6F58E,LINEAR_R_OR_RG_BC5,active,7,heightSampler,"{""A"": ""Не используется."", ""B"": ""Не используется."", ""G"": ""Не используется."", ""R"": ""Height для PXM raymarch или DPM domain displacement.""}",position' = position + normal * ((heightSampler.R + heightBias) * heightScale * globalHeightScale); tess = PNpatch * tessellationMultiplier,В DPM shipped DXBC имя resource — heightTexture; registry key остаётся heightSampler.,normal_detail_dpm.sps > heightSampler | normal_diffspec_detail_dpm.sps > heightSampler | normal_diffspec_detail_dpm_tnt.sps > heightSampler | normal_spec_detail_dpm.sps > heightSampler | normal_spec_detail_dpm_tnt.sps > heightSampler | normal_spec_detail_dpm_vertdecal_tnt.sps > heightSampler | normal_spec_dpm.sps > heightSampler
SEM_70339F15FEA87B00,NORMAL_XY_AUTO,active,20,BumpSampler,"{""A"": ""В основном ped-пути не читается."", ""B"": ""В основном ped-пути не читается."", ""RG"": ""XY-нормаль в tangent space: Nxy = (2·RG−1)·max(bumpiness, 0.001).""}","Nxy = (2·RG−1)·max(bumpiness, 0.001)",,ped.sps > BumpSampler | ped_alpha.sps > BumpSampler | ped_cloth.sps > BumpSampler | ped_cloth_enveff.sps > BumpSampler | ped_decal_decoration.sps > BumpSampler | ped_decal_expensive.sps > BumpSampler | ped_decal_nodiff.sps > BumpSampler | ped_emissive.sps > BumpSampler | ped_enveff.sps > BumpSampler | ped_fur.sps > BumpSampler | ped_hair_cutout_alpha.sps > BumpSampler | ped_hair_cutout_alpha_cloth.sps > BumpSampler | ped_hair_spiked.sps > BumpSampler | ped_nopeddamagedecals.sps > BumpSampler | ped_palette.sps > BumpSampler | ped_wrinkle.sps > BumpSampler | ped_wrinkle_cloth.sps > BumpSampler | ped_wrinkle_cloth_enveff.sps > BumpSampler | ped_wrinkle_cs.sps > BumpSampler | ped_wrinkle_enveff.sps > BumpSampler
SEM_716E7D47E446AA46,NORMAL_XY_AUTO,active,34,BumpSampler,"{""A"": ""Обычная normal ветка A не читает."", ""B"": ""Не является отдельным художественным каналом в этих branches."", ""RG"": ""Tangent-space normal XY после remap; масштабируется bumpiness.""}","Nxy = (2*Bump.RG-1) * max(bumpiness, 0.001)",,decal_normal_spec_um.sps > BumpSampler | normal_cutout_um.sps > BumpSampler | normal_decal.sps > BumpSampler | normal_decal_pxm.sps > BumpSampler | normal_decal_pxm_tnt.sps > BumpSampler | normal_decal_tnt.sps > BumpSampler | normal_detail.sps > BumpSampler | normal_detail_dpm.sps > BumpSampler | normal_diffspec_detail.sps > BumpSampler | normal_diffspec_detail_dpm.sps > BumpSampler | normal_diffspec_detail_dpm_tnt.sps > BumpSampler | normal_diffspec_detail_tnt.sps > BumpSampler | normal_pxm.sps > BumpSampler | normal_pxm_tnt.sps > BumpSampler | normal_spec_decal.sps > BumpSampler | normal_spec_decal_detail.sps > BumpSampler | normal_spec_decal_nopuddle.sps > BumpSampler | normal_spec_decal_pxm.sps > BumpSampler | normal_spec_decal_tnt.sps > BumpSampler | normal_spec_detail.sps > BumpSampler | normal_spec_detail_dpm.sps > BumpSampler | normal_spec_detail_dpm_tnt.sps > BumpSampler | normal_spec_detail_dpm_vertdecal_tnt.sps > BumpSampler | normal_spec_detail_tnt.sps > BumpSampler | normal_spec_dpm.sps > BumpSampler | normal_spec_pxm.sps > BumpSampler | normal_spec_pxm_tnt.sps > BumpSampler | normal_spec_tnt_pxm.sps > BumpSampler | normal_spec_um.sps > BumpSampler | normal_spec_wrinkle.sps > BumpSampler | normal_terrain_wet.sps > BumpSampler | normal_tnt_pxm.sps > BumpSampler | normal_um.sps > BumpSampler | normal_um_tnt.sps > BumpSampler
SEM_73CAC76856151A52,DIFFUSE_RGBA_AUTO,active,14,DiffuseSampler,"{""A"": ""Прозрачность материала."", ""RGB"": ""Базовый цвет/цвет частицы.""}",alpha = Diffuse.A × Colour0.A × globalAlpha,,glass.sps > DiffuseSampler | glass_breakable.sps > DiffuseSampler | glass_breakable_screendooralpha.sps > DiffuseSampler | glass_displacement.sps > DiffuseSampler | glass_emissive.sps > DiffuseSampler | glass_emissive_alpha.sps > DiffuseSampler | glass_emissivenight.sps > DiffuseSampler | glass_emissivenight_alpha.sps > DiffuseSampler | glass_env.sps > DiffuseSampler | glass_pv.sps > DiffuseSampler | glass_pv_env.sps > DiffuseSampler | glass_spec.sps > DiffuseSampler | mirror_crack.sps > DiffuseSampler | mirror_default.sps > DiffuseSampler
SEM_7603335D45C6D6FA,ARRAY_RGBA_READY_DDS,active,1,TextureGrassSampler,"{""A"": ""Активное покрытие deferred-прохода."", ""RGB"": ""Активное альбедо deferred-прохода.""}",,"DiffuseSampler также объявлен, но основной deferred grass PS семплирует TextureGrassSampler.",grass.sps > TextureGrassSampler
SEM_7704C0858F8464D3,LINEAR_RGBA_BC3,active,4,WrinkleMaskSampler_0 | WrinkleMaskSampler_1 | WrinkleMaskSampler_2 | WrinkleMaskSampler_3,"{""A"": ""Независимый вес для соответствующего компонента strength vector."", ""B"": ""Независимый вес для соответствующего компонента strength vector."", ""G"": ""Независимый вес для соответствующего компонента strength vector."", ""R"": ""Независимый вес для соответствующего компонента strength vector.""}","a=dot(M0,S0)+dot(M1,S1); b=dot(M2,S2)+dot(M3,S3); N=lerp(lerp(Bump.xy,WrinkleA.xy,a),WrinkleB.xy,b); N*=bumpiness",,normal_spec_wrinkle.sps > WrinkleMaskSampler_0 | normal_spec_wrinkle.sps > WrinkleMaskSampler_1 | normal_spec_wrinkle.sps > WrinkleMaskSampler_2 | normal_spec_wrinkle.sps > WrinkleMaskSampler_3
SEM_7DB42D9BDA526057,COLOR_RGB_BC1,active,1,DiffuseHfSampler,"{""A"": ""Не читается."", ""RGB"": ""Покомпонентно умножает Diffuse RGB.""}",,,grass_fur_mask.sps > DiffuseHfSampler
SEM_7EC7131FD2DC5A89,PALETTE_RGBA8,active,2,TintPaletteSampler,"{""A"": ""В проверенном tint-пути стабильная artist-facing роль не установлена."", ""RGB"": ""Tint-множитель выбирается через Colour0.B и tintPaletteSelector.X.""}","tint = TintPalette(Colour0.B, tintPaletteSelector.X); RGB *= tint.RGB",,weapon_normal_spec_detail_tnt.sps > TintPaletteSampler | weapon_normal_spec_tnt.sps > TintPaletteSampler
SEM_7FC42C87E502B0D7,COLOR_RGB_BC1,active,5,FogSampler,"{""A"": ""В исследованном основном пути не используется."", ""RGB"": ""Локальный цвет воды/тумана.""}",,,water_river.sps > FogSampler | water_riverlod.sps > FogSampler | water_riverocean.sps > FogSampler | water_rivershallow.sps > FogSampler | water_shallow.sps > FogSampler
SEM_8018C4BA32975C7B,COLOR_RGBA_BC3,active,1,moonSampler,"{""A"": ""Маска видимости; RGB умножается на A."", ""RGB"": ""Цвет диска Луны.""}",moonRGB=moon.RGB×moon.A×moonIntensity,,sky_system.sps > moonSampler
SEM_81469946AA772F3A,DIFFUSE_RGBA_AUTO,active,14,DiffuseSampler2 | DiffuseSampler3,"{""A"": ""Маска: 0 оставляет основной diffuse, 1 выбирает второй слой с tint2."", ""RGB"": ""RGB второго diffuse/livery-слоя.""}","w=Layer.A·matDiffuseColor2.w; C=lerp(Cbase, Layer.rgb·matDiffuseColor2.rgb, w)",,vehicle_cloth2.sps > DiffuseSampler2 | vehicle_paint3.sps > DiffuseSampler2 | vehicle_paint3_enveff.sps > DiffuseSampler2 | vehicle_paint3_lvr.sps > DiffuseSampler3 | vehicle_paint4.sps > DiffuseSampler2 | vehicle_paint4_emissive.sps > DiffuseSampler2 | vehicle_paint4_enveff.sps > DiffuseSampler2 | vehicle_paint5_enveff.sps > DiffuseSampler2 | vehicle_paint6.sps > DiffuseSampler2 | vehicle_paint6_enveff.sps > DiffuseSampler2 | vehicle_paint7.sps > DiffuseSampler2 | vehicle_paint7_enveff.sps > DiffuseSampler2 | vehicle_paint8.sps > DiffuseSampler2 | vehicle_paint9.sps > DiffuseSampler2
SEM_82ABD083B6BDDB1E,DIFFUSE_RGBA_AUTO,active,1,DiffuseSampler,"{""A"": ""Surface opacity: decal blend или cutout; в detail-diffspec дополнительно A_detail."", ""RGB"": ""Умножается на Colour0.RGB и входит в DirtDecalMask dot.""}","alpha=dot((Diffuse.rgb*Colour0.rgb),DirtDecalMask.xyz) | alpha_surface = Diffuse.A * Colour0.A * globalAlpha",,decal_dirt.sps > DiffuseSampler
SEM_840D1A0C69E3B2FE,LINEAR_RGBA_BC3,active,13,SpecSampler,"{""A"": ""Линейный exponent/falloff; при detail также A_detail."", ""B"": ""Линейный weighted intensity через specMapIntMask.B."", ""G"": ""Квадратится; weighted intensity через specMapIntMask.G; у spec-only ещё blend alpha."", ""R"": ""Квадратится; weighted intensity через specMapIntMask.R.""}","S=(Spec.R^2,Spec.G^2,Spec.B,Spec.A); I=dot(S.rgb,specMapIntMask.xyz)*specularIntensityMult; P=S.a*specularFalloffMult",,decal_normal_spec_um.sps > SpecSampler | normal_spec_decal.sps > SpecSampler | normal_spec_decal_nopuddle.sps > SpecSampler | normal_spec_decal_pxm.sps > SpecSampler | normal_spec_decal_tnt.sps > SpecSampler | normal_spec_dpm.sps > SpecSampler | normal_spec_pxm.sps > SpecSampler | normal_spec_pxm_tnt.sps > SpecSampler | normal_spec_tnt_pxm.sps > SpecSampler | normal_spec_um.sps > SpecSampler | normal_spec_wrinkle.sps > SpecSampler | parallax_specmap.sps > SpecSampler | spec_decal.sps > SpecSampler
SEM_89731F8135289D5E,SKIP_ENGINE_RESOURCE,active,1,textureSamp,"{""RGBA"": ""Читается в shadow-технике; видимый цвет кабеля эта карта не задаёт.""}",,Для обычного draw видимый цвет приходит из numeric cable colours.,cable.sps > textureSamp
SEM_89D6190F262DF185,LINEAR_RGB_BC1,active,8,lookupSampler,"{""A"": ""Не используется."", ""RGB"": ""Три координаты смешивания четырёх terrain-слоёв.""}",w0=(1−R)(1−G)(1−B); w1=(1−R)(1−G)B; w2=(1−R)G(1−B); w3=(1−R)GB,,terrain_cb_w_4lyr_2tex_blend.sps > lookupSampler | terrain_cb_w_4lyr_2tex_blend_lod.sps > lookupSampler | terrain_cb_w_4lyr_2tex_blend_pxm.sps > lookupSampler | terrain_cb_w_4lyr_2tex_blend_pxm_spm.sps > lookupSampler | terrain_cb_w_4lyr_cm.sps > lookupSampler | terrain_cb_w_4lyr_cm_pxm.sps > lookupSampler | terrain_cb_w_4lyr_cm_pxm_tnt.sps > lookupSampler | terrain_cb_w_4lyr_cm_tnt.sps > lookupSampler
SEM_8A082D30141BEA63,LINEAR_R_OR_RG_BC5,active,2,DetailSampler,"{""GBA"": ""В проверенном deferred-пути не используются."", ""R"": ""Единственный читаемый канал; семплируется на двух частотах и модулирует diffuse/spec.""}",m=1−detailSettings.x·Spec.A·0.5·[(2R(uv·zw)−1)+(2R(3.17·uv·zw)−1)],,vehicle_detail.sps > DetailSampler | vehicle_detail2.sps > DetailSampler
SEM_8BF329E7C64D1191,TODO_SPECIAL_SPEC_BA,active,19,SpecSampler,"{""A"": ""Жёсткость второго paint-блика: в paint1 exponent второго лоба = 15·A."", ""RGB"": ""Второй цветной paint-блик: intensity mask = dot((R²,G²,B), specMapIntMask).""}","ordinary: I≈SpecIntensity·Colour0.R, P=SpecFalloff; paint2: I₂=dot((R²,G²,B),mask)·Colour0.R, n₂≈15·A",,vehicle_nosplash.sps > SpecSampler | vehicle_nowater.sps > SpecSampler | vehicle_paint1.sps > SpecSampler | vehicle_paint1_enveff.sps > SpecSampler | vehicle_paint2.sps > SpecSampler | vehicle_paint2_enveff.sps > SpecSampler | vehicle_paint3.sps > SpecSampler | vehicle_paint3_enveff.sps > SpecSampler | vehicle_paint3_lvr.sps > SpecSampler | vehicle_paint4.sps > SpecSampler | vehicle_paint4_emissive.sps > SpecSampler | vehicle_paint4_enveff.sps > SpecSampler | vehicle_paint5_enveff.sps > SpecSampler | vehicle_paint6.sps > SpecSampler | vehicle_paint6_enveff.sps > SpecSampler | vehicle_paint7.sps > SpecSampler | vehicle_paint7_enveff.sps > SpecSampler | vehicle_paint8.sps > SpecSampler | vehicle_paint9.sps > SpecSampler
SEM_8CA0E35FB45E5D21,DIFFUSE_RGBA_AUTO,active,2,DiffuseSampler,"{""A"": ""Маска эмиссии и surface alpha; в additive-вариантах также формирует premultiplied source color."", ""RGB"": ""Базовый цвет поверхности. Для TNT дополнительно умножается на RGB выбранной палитры.""}",emissive = DiffuseSampler.A × emissiveMultiplier × runtime(gEmissiveScale) × Colour0.B × runtime(gDayNightEffects) | surface_alpha = DiffuseSampler.A × Colour0.A,,emissivenight.sps > DiffuseSampler | emissivenight_alpha.sps > DiffuseSampler
SEM_8D4513A8442F538B,DIFFUSE_RGBA_AUTO,active,1,DiffuseSampler,"{""A"": ""Маска эмиссии и surface alpha; в additive-вариантах также формирует premultiplied source color."", ""RGB"": ""Базовый цвет поверхности. Для TNT дополнительно умножается на RGB выбранной палитры.""}",emissive = DiffuseSampler.A × emissiveMultiplier × runtime(gEmissiveScale) × Colour0.B × runtime(CalcDayNightVertScale) | surface_alpha = DiffuseSampler.A × Colour0.A,,emissivenight_geomnightonly.sps > DiffuseSampler
SEM_8ECBE338DBE9E0BD,LINEAR_R_OR_RG_BC5,active,4,DetailSampler,"{""A"": ""Не используется; detail mask берётся из Diffuse.A."", ""B"": ""Не используется."", ""G"": ""Компонента Y касательной нормали."", ""R"": ""Одновременно scalar detail sample и tangent normal X.""}",D=.5*Detail(UV*detailSettings.zw)+.5*Detail(UV*detailSettings.zw*3.17); A_detail=DiffuseSampler.A; M=1-D.r*detailSettings.x*A_detail; Nxy+=D.xy*detailSettings.y*A_detail,PC branch смешивает два sample масштаба 1× и 3.17× по 0.5.,normal_diffspec_detail.sps > DetailSampler | normal_diffspec_detail_dpm.sps > DetailSampler | normal_diffspec_detail_dpm_tnt.sps > DetailSampler | normal_diffspec_detail_tnt.sps > DetailSampler
SEM_911731C19B6AA369,SKIP_ENGINE_RESOURCE,active,1,DepthMapTexSampler,"{""GBA"": ""Не являются художественными каналами материала."", ""R"": ""Экранная глубина сцены для soft-particle fade.""}",,"Карта подаётся движком, художник её не рисует.",clouds_anim.sps > DepthMapTexSampler
SEM_916079B5700D30F1,LINEAR_R_OR_RG_BC5,active,9,heightSampler,"{""A"": ""Не используется."", ""B"": ""Не используется."", ""G"": ""Не используется."", ""R"": ""Height для PXM raymarch или DPM domain displacement.""}","maxOff=(-Vt.xy/max(zLimit,Vt.z))*heightScale*globalScale; biasOff=(Vt.xy/max(zLimit,Vt.z))*heightBias*globalScale; UV'=UV+biasOff+maxOff*(1-tracedHeight)",В DPM shipped DXBC имя resource — heightTexture; registry key остаётся heightSampler.,normal_decal_pxm.sps > heightSampler | normal_decal_pxm_tnt.sps > heightSampler | normal_pxm.sps > heightSampler | normal_pxm_tnt.sps > heightSampler | normal_spec_decal_pxm.sps > heightSampler | normal_spec_pxm.sps > heightSampler | normal_spec_pxm_tnt.sps > heightSampler | normal_spec_tnt_pxm.sps > heightSampler | normal_tnt_pxm.sps > heightSampler
SEM_92C18A19C0FDFDC4,VOLUME_RGB_READY_DDS,active,22,VolumeSampler,"{""A"": ""В проверенном deferred-пути не используется."", ""RGB"": ""3D microdetail: компоненты дают мелкую вариацию нормали и/или diffuse.""}",,"Это Texture3D с процедурными координатами из UV0, а не обычная 2D detail-карта.",ped.sps > VolumeSampler | ped_cloth.sps > VolumeSampler | ped_cloth_enveff.sps > VolumeSampler | ped_decal.sps > VolumeSampler | ped_decal_decoration.sps > VolumeSampler | ped_decal_expensive.sps > VolumeSampler | ped_decal_nodiff.sps > VolumeSampler | ped_default.sps > VolumeSampler | ped_default_cloth.sps > VolumeSampler | ped_default_cutout.sps > VolumeSampler | ped_default_enveff.sps > VolumeSampler | ped_default_mp.sps > VolumeSampler | ped_default_palette.sps > VolumeSampler | ped_emissive.sps > VolumeSampler | ped_enveff.sps > VolumeSampler | ped_nopeddamagedecals.sps > VolumeSampler | ped_palette.sps > VolumeSampler | ped_wrinkle.sps > VolumeSampler | ped_wrinkle_cloth.sps > VolumeSampler | ped_wrinkle_cloth_enveff.sps > VolumeSampler | ped_wrinkle_cs.sps > VolumeSampler | ped_wrinkle_enveff.sps > VolumeSampler
SEM_93863569C8DB6A47,LINEAR_RGBA_BC3,active,7,SpecSampler,"{""A"": ""Показатель степени/узость блика: A×specularFalloffMult."", ""B"": ""Линейная добавка интенсивности, если вес B ненулевой."", ""G"": ""Дополнительная интенсивность через G², если вес G в specMapIntMask ненулевой."", ""R"": ""Интенсивность обычного белого блика через R² и specMapIntMask.""}","I=dot((R²,G²,B),specMapIntMask)×specularIntensityMult; n=A×specularFalloffMult","SpecSampler управляет обычным specular-бликом, а не резкостью EnvironmentSampler.",glass_breakable.sps > SpecSampler | glass_breakable_screendooralpha.sps > SpecSampler | glass_displacement.sps > SpecSampler | glass_env.sps > SpecSampler | glass_spec.sps > SpecSampler | mirror_crack.sps > SpecSampler | mirror_default.sps > SpecSampler
